date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:08:33	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20May%202021%2015:08:30%20GMT	http://ruvenpelka.com/robots.txt		(from )
22:08:34	83071/83071	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202019%2006:16:40%20GMT	http://ruvenpelka.com/demos/desmond-resume/dark/	C:/xampp/htdocs/CV%20HTML/ruvenpelka.com/demos/desmond-resume/dark/index.html	(from )
22:08:36	54540/54540	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2006:16:41%20GMT	http://ruvenpelka.com/demos/desmond-resume/dark/assets/plugins/font-awesome/css/fontawesome.min.css	C:/xampp/htdocs/CV%20HTML/ruvenpelka.com/demos/desmond-resume/dark/assets/plugins/font-awesome/css/fontawesome.min.css	(from http://ruvenpelka.com/demos/desmond-resume/dark/)
22:08:36	660/660	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2006:16:41%20GMT	http://ruvenpelka.com/demos/desmond-resume/dark/assets/plugins/font-awesome/css/brands.min.css	C:/xampp/htdocs/CV%20HTML/ruvenpelka.com/demos/desmond-resume/dark/assets/plugins/font-awesome/css/brands.min.css	(from http://ruvenpelka.com/demos/desmond-resume/dark/)
22:08:39	2829/2829	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2006:16:41%20GMT	http://ruvenpelka.com/demos/desmond-resume/dark/assets/plugins/nivo-lightbox/themes/default/default.css	C:/xampp/htdocs/CV%20HTML/ruvenpelka.com/demos/desmond-resume/dark/assets/plugins/nivo-lightbox/themes/default/default.css	(from http://ruvenpelka.com/demos/desmond-resume/dark/)
22:08:41	3358/3358	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2006:16:40%20GMT	http://ruvenpelka.com/demos/desmond-resume/dark/assets/css/themes.dark.css	C:/xampp/htdocs/CV%20HTML/ruvenpelka.com/demos/desmond-resume/dark/assets/css/themes.dark.css	(from http://ruvenpelka.com/demos/desmond-resume/dark/)
22:08:41	5705/5705	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2006:16:41%20GMT	http://ruvenpelka.com/demos/desmond-resume/dark/assets/plugins/nivo-lightbox/nivo-lightbox.css	C:/xampp/htdocs/CV%20HTML/ruvenpelka.com/demos/desmond-resume/dark/assets/plugins/nivo-lightbox/nivo-lightbox.css	(from http://ruvenpelka.com/demos/desmond-resume/dark/)
22:08:43	12958/12958	---M--	200	added ('OK')	application/javascript	date:Fri,%2007%20Jun%202019%2006:16:40%20GMT	http://ruvenpelka.com/demos/desmond-resume/dark/assets/js/dense.js	C:/xampp/htdocs/CV%20HTML/ruvenpelka.com/demos/desmond-resume/dark/assets/js/dense.js	(from http://ruvenpelka.com/demos/desmond-resume/dark/)
22:08:44	7621/7621	---M--	200	added ('OK')	application/javascript	date:Fri,%2007%20Jun%202019%2006:16:41%20GMT	http://ruvenpelka.com/demos/desmond-resume/dark/assets/plugins/nivo-lightbox/nivo-lightbox.min.js	C:/xampp/htdocs/CV%20HTML/ruvenpelka.com/demos/desmond-resume/dark/assets/plugins/nivo-lightbox/nivo-lightbox.min.js	(from http://ruvenpelka.com/demos/desmond-resume/dark/)
22:08:44	8487/8487	---M--	200	added ('OK')	application/javascript	date:Fri,%2007%20Jun%202019%2006:16:40%20GMT	http://ruvenpelka.com/demos/desmond-resume/dark/assets/js/scrollreveal.min.js	C:/xampp/htdocs/CV%20HTML/ruvenpelka.com/demos/desmond-resume/dark/assets/js/scrollreveal.min.js	(from http://ruvenpelka.com/demos/desmond-resume/dark/)
